source,destination,protocol,chunkSize,tCount,fileSize,retransmits,connectTime,requestTime,receiveTime
192.168.0.1,www.amazon.com,HTTP/1.0,4,7,1263,2,0.000840,0.000091,0.000347
192.168.0.1,www.amazon.com,HTTP/1.1,4,7,1263,2,0.000445,0.000051,0.000228
192.168.0.1,www.amazon.com,HTTP/1.0,5,12,1263,2,0.000437,0.000052,0.000190
192.168.0.1,www.amazon.com,HTTP/1.1,5,12,1263,2,0.000463,0.000312,0.000189
192.168.0.1,www.amazon.com,HTTP/1.0,6,13,1263,2,0.000448,0.000061,0.000168
192.168.0.1,www.amazon.com,HTTP/1.1,6,13,1263,2,0.000520,0.000051,0.000189
192.168.0.1,www.amazon.com,HTTP/1.0,7,14,1263,2,0.000460,0.000049,0.000155
192.168.0.1,www.amazon.com,HTTP/1.1,7,14,1263,2,0.000457,0.000052,0.000133
192.168.0.1,www.amazon.com,HTTP/1.0,8,15,1263,2,0.000452,0.000061,0.000146
192.168.0.1,www.amazon.com,HTTP/1.1,8,15,1263,2,0.000456,0.000043,0.000128
192.168.0.1,www.amazon.com,HTTP/1.0,9,14,1263,2,0.000426,0.000079,0.000135
192.168.0.1,www.amazon.com,HTTP/1.1,9,14,1263,2,0.000478,0.000053,0.000191
192.168.0.1,www.amazon.com,HTTP/1.0,10,14,1263,2,0.000412,0.000309,0.000158
192.168.0.1,www.amazon.com,HTTP/1.1,10,14,1263,2,0.000443,0.000076,0.000202
192.168.0.1,www.amazon.com,HTTP/1.0,11,14,1263,2,0.000466,0.000064,0.000120
192.168.0.1,www.amazon.com,HTTP/1.1,11,14,1263,2,0.000462,0.000050,0.000168
192.168.0.1,www.amazon.com,HTTP/1.0,12,14,1263,2,0.000401,0.000060,0.000116
192.168.0.1,www.amazon.com,HTTP/1.1,12,14,1263,2,0.000444,0.000059,0.000123
192.168.0.1,www.amazon.com,HTTP/1.0,13,14,1263,2,0.000465,0.000045,0.000109
192.168.0.1,www.amazon.com,HTTP/1.1,13,14,1263,2,0.000437,0.000053,0.000103
192.168.0.1,www.amazon.com,HTTP/1.0,14,16,1263,2,0.000454,0.000044,0.000092
192.168.0.1,www.amazon.com,HTTP/1.1,14,16,1263,2,0.000442,0.000050,0.000112
192.168.0.1,www.amazon.com,HTTP/1.0,15,15,1263,2,0.000453,0.000043,0.000095
192.168.0.1,www.amazon.com,HTTP/1.1,15,15,1263,2,0.000436,0.000052,0.000094
192.168.0.1,www.amazon.com,HTTP/1.0,16,16,1263,2,0.000435,0.000067,0.000120
192.168.0.1,www.amazon.com,HTTP/1.1,16,16,1263,2,0.000445,0.000058,0.000093
192.168.0.1,www.amazon.com,HTTP/1.0,17,15,1263,2,0.000466,0.000076,0.000105
192.168.0.1,www.amazon.com,HTTP/1.1,17,15,1263,2,0.000485,0.000052,0.000110
192.168.0.1,www.amazon.com,HTTP/1.0,18,15,1263,2,0.000454,0.000053,0.000087
192.168.0.1,www.amazon.com,HTTP/1.1,18,15,1263,2,0.000521,0.000061,0.000062
192.168.0.1,www.amazon.com,HTTP/1.0,19,16,1263,2,0.000463,0.000051,0.000100
192.168.0.1,www.amazon.com,HTTP/1.1,19,16,1263,2,0.000462,0.000103,0.000089
192.168.0.1,www.amazon.com,HTTP/1.0,20,17,1263,2,0.000462,0.000056,0.000089
192.168.0.1,www.amazon.com,HTTP/1.1,20,17,1263,2,0.000458,0.000053,0.000086
192.168.0.1,www.amazon.com,HTTP/1.0,21,16,1263,2,0.000492,0.000040,0.000086
192.168.0.1,www.amazon.com,HTTP/1.1,21,16,1263,2,0.000484,0.000267,0.000097
192.168.0.1,www.amazon.com,HTTP/1.0,22,16,1263,2,0.000461,0.000048,0.000084
192.168.0.1,www.amazon.com,HTTP/1.1,22,16,1263,2,0.000490,0.000100,0.000087
192.168.0.1,www.amazon.com,HTTP/1.0,23,16,1263,2,0.000454,0.000051,0.000103
192.168.0.1,www.amazon.com,HTTP/1.1,23,16,1263,2,0.000501,0.000039,0.000099
192.168.0.1,www.amazon.com,HTTP/1.0,24,17,1263,2,0.000477,0.000044,0.000083
192.168.0.1,www.amazon.com,HTTP/1.1,24,17,1263,2,0.000443,0.000051,0.000076
192.168.0.1,www.amazon.com,HTTP/1.0,25,16,1263,2,0.000426,0.000051,0.000082
192.168.0.1,www.amazon.com,HTTP/1.1,25,16,1263,2,0.000465,0.000043,0.000097
192.168.0.1,www.amazon.com,HTTP/1.0,26,17,1263,2,0.000452,0.000048,0.000095
192.168.0.1,www.amazon.com,HTTP/1.1,26,17,1263,2,0.000447,0.000051,0.000081
192.168.0.1,www.amazon.com,HTTP/1.0,27,16,1263,2,0.000422,0.000051,0.000075
192.168.0.1,www.amazon.com,HTTP/1.1,27,16,1263,2,0.000425,0.000050,0.000095
192.168.0.1,www.amazon.com,HTTP/1.0,28,16,1263,2,0.000462,0.000049,0.000095
192.168.0.1,www.amazon.com,HTTP/1.1,28,16,1263,2,0.000449,0.000079,0.000071
192.168.0.1,www.amazon.com,HTTP/1.0,29,16,1263,2,0.000473,0.000046,0.000070
192.168.0.1,www.amazon.com,HTTP/1.1,29,16,1263,2,0.000462,0.000070,0.000095
192.168.0.1,www.amazon.com,HTTP/1.0,30,16,1263,2,0.000499,0.000055,0.000090
192.168.0.1,www.amazon.com,HTTP/1.1,30,16,1263,2,0.000445,0.000053,0.000076
192.168.0.1,www.amazon.com,HTTP/1.0,31,17,1263,2,0.000441,0.000050,0.000077
192.168.0.1,www.amazon.com,HTTP/1.1,31,17,1263,2,0.000447,0.000064,0.000088
