source,destination,protocol,chunkSize,tCount,fileSize,retransmits,connectTime,requestTime,receiveTime
192.168.0.1,www.facebook.com,HTTP/1.0,4,0,366,2,0.000573,0.000062,0.000050
192.168.0.1,www.facebook.com,HTTP/1.1,4,2,3453,2,0.000461,0.000060,0.000471
192.168.0.1,www.facebook.com,HTTP/1.0,5,0,366,2,0.000411,0.000046,0.000046
192.168.0.1,www.facebook.com,HTTP/1.1,5,1,3453,2,0.000456,0.000089,0.000353
192.168.0.1,www.facebook.com,HTTP/1.0,6,0,366,1,0.000438,0.000053,0.000038
192.168.0.1,www.facebook.com,HTTP/1.1,6,4,3453,2,0.000432,0.000049,0.000353
192.168.0.1,www.facebook.com,HTTP/1.0,7,0,366,2,0.000455,0.000049,0.000033
192.168.0.1,www.facebook.com,HTTP/1.1,7,8,3453,2,0.000484,0.000064,0.000325
192.168.0.1,www.facebook.com,HTTP/1.0,8,0,366,2,0.000487,0.000045,0.000031
192.168.0.1,www.facebook.com,HTTP/1.1,8,14,3453,2,0.000467,0.000056,0.000236
192.168.0.1,www.facebook.com,HTTP/1.0,9,0,366,2,0.000439,0.000062,0.000028
192.168.0.1,www.facebook.com,HTTP/1.1,9,21,3453,2,0.000455,0.000064,0.000264
192.168.0.1,www.facebook.com,HTTP/1.0,10,0,366,2,0.000448,0.000060,0.000025
192.168.0.1,www.facebook.com,HTTP/1.1,10,22,3453,2,0.000492,0.000044,0.000264
192.168.0.1,www.facebook.com,HTTP/1.0,11,0,366,2,0.000499,0.000058,0.000026
192.168.0.1,www.facebook.com,HTTP/1.1,11,22,3453,2,0.000478,0.000043,0.000234
192.168.0.1,www.facebook.com,HTTP/1.0,12,0,366,2,0.000464,0.000052,0.000022
192.168.0.1,www.facebook.com,HTTP/1.1,12,24,3453,2,0.000493,0.000060,0.000227
192.168.0.1,www.facebook.com,HTTP/1.0,13,0,366,2,0.000481,0.000065,0.000023
192.168.0.1,www.facebook.com,HTTP/1.1,13,24,3453,3,0.000451,0.000054,0.000185
192.168.0.1,www.facebook.com,HTTP/1.0,14,0,366,2,0.000451,0.000055,0.000023
192.168.0.1,www.facebook.com,HTTP/1.1,14,24,3453,2,0.000511,0.000041,0.000142
192.168.0.1,www.facebook.com,HTTP/1.0,15,0,366,2,0.000484,0.000053,0.000019
192.168.0.1,www.facebook.com,HTTP/1.1,15,26,3453,2,0.000463,0.000085,0.000808
192.168.0.1,www.facebook.com,HTTP/1.0,16,0,366,2,0.000467,0.000097,0.000020
192.168.0.1,www.facebook.com,HTTP/1.1,16,25,3453,3,0.000784,0.000102,0.000131
192.168.0.1,www.facebook.com,HTTP/1.0,17,0,366,2,0.000422,0.000049,0.000019
192.168.0.1,www.facebook.com,HTTP/1.1,17,24,3453,2,0.000449,0.000052,0.000184
192.168.0.1,www.facebook.com,HTTP/1.0,18,0,366,2,0.000451,0.000050,0.000022
192.168.0.1,www.facebook.com,HTTP/1.1,18,27,3453,2,0.000484,0.000061,0.000132
192.168.0.1,www.facebook.com,HTTP/1.0,19,0,366,2,0.000479,0.000043,0.000018
192.168.0.1,www.facebook.com,HTTP/1.1,19,30,3453,3,0.000493,0.000042,0.000132
192.168.0.1,www.facebook.com,HTTP/1.0,20,0,366,2,0.000445,0.000059,0.000018
192.168.0.1,www.facebook.com,HTTP/1.1,20,30,3453,2,0.000462,0.000072,0.000266
192.168.0.1,www.facebook.com,HTTP/1.0,21,0,366,2,0.000504,0.000054,0.000019
192.168.0.1,www.facebook.com,HTTP/1.1,21,30,3453,3,0.000447,0.000065,0.000152
192.168.0.1,www.facebook.com,HTTP/1.0,22,0,366,2,0.000478,0.000080,0.000018
192.168.0.1,www.facebook.com,HTTP/1.1,22,29,3453,2,0.000527,0.000051,0.000089
192.168.0.1,www.facebook.com,HTTP/1.0,23,0,366,2,0.000476,0.000061,0.000015
192.168.0.1,www.facebook.com,HTTP/1.1,23,31,3453,2,0.000433,0.000047,0.000153
192.168.0.1,www.facebook.com,HTTP/1.0,24,0,366,2,0.000459,0.000041,0.000016
192.168.0.1,www.facebook.com,HTTP/1.1,24,30,3453,2,0.000426,0.000049,0.000146
192.168.0.1,www.facebook.com,HTTP/1.0,25,0,366,2,0.000473,0.000055,0.000016
192.168.0.1,www.facebook.com,HTTP/1.1,25,34,3453,2,0.000437,0.000046,0.000083
192.168.0.1,www.facebook.com,HTTP/1.0,26,0,366,2,0.000411,0.000044,0.000018
192.168.0.1,www.facebook.com,HTTP/1.1,26,28,3453,2,0.000453,0.000061,0.000090
192.168.0.1,www.facebook.com,HTTP/1.0,27,0,366,2,0.000433,0.000039,0.000013
192.168.0.1,www.facebook.com,HTTP/1.1,27,27,3453,4,0.000430,0.000100,0.000093
192.168.0.1,www.facebook.com,HTTP/1.0,28,0,366,2,0.000440,0.000058,0.000014
192.168.0.1,www.facebook.com,HTTP/1.1,28,30,3453,2,0.000421,0.000050,0.000131
192.168.0.1,www.facebook.com,HTTP/1.0,29,0,366,2,0.000441,0.000048,0.000016
192.168.0.1,www.facebook.com,HTTP/1.1,29,33,3453,2,0.000454,0.000049,0.000119
