source,destination,protocol,chunkSize,tCount,fileSize,retransmits,connectTime,requestTime,receiveTime
192.168.0.1,www.google.com,HTTP/1.0,4,200,48579,3,0.000994,0.000038,0.006244
192.168.0.1,www.google.com,HTTP/1.1,4,197,48858,4,0.000662,0.000066,0.006533
192.168.0.1,www.google.com,HTTP/1.0,5,216,48621,2,0.000413,0.000051,0.005395
192.168.0.1,www.google.com,HTTP/1.1,5,228,48820,1,0.000483,0.000061,0.005640
192.168.0.1,www.google.com,HTTP/1.0,6,221,48582,11,0.000407,0.000042,0.004487
192.168.0.1,www.google.com,HTTP/1.1,6,226,48847,8,0.000476,0.000048,0.005635
192.168.0.1,www.google.com,HTTP/1.0,7,226,48546,8,0.000401,0.000050,0.003917
192.168.0.1,www.google.com,HTTP/1.1,7,229,48837,12,0.000433,0.000043,0.003866
192.168.0.1,www.google.com,HTTP/1.0,8,235,48602,6,0.000706,0.000056,0.003932
192.168.0.1,www.google.com,HTTP/1.1,8,236,48828,10,0.000412,0.000053,0.003540
192.168.0.1,www.google.com,HTTP/1.0,9,234,48624,12,0.000458,0.000057,0.003204
192.168.0.1,www.google.com,HTTP/1.1,9,243,48806,11,0.000400,0.000051,0.003303
192.168.0.1,www.google.com,HTTP/1.0,10,242,48630,1,0.000487,0.000051,0.003148
192.168.0.1,www.google.com,HTTP/1.1,10,243,48806,2,0.000420,0.000049,0.002816
192.168.0.1,www.google.com,HTTP/1.0,11,250,48647,2,0.000426,0.000045,0.002502
192.168.0.1,www.google.com,HTTP/1.1,11,241,48859,2,0.000410,0.000053,0.003173
192.168.0.1,www.google.com,HTTP/1.0,12,251,48618,8,0.000456,0.000085,0.002335
192.168.0.1,www.google.com,HTTP/1.1,12,248,48827,11,0.000420,0.000040,0.002475
192.168.0.1,www.google.com,HTTP/1.0,13,254,48657,2,0.000408,0.000264,0.002347
192.168.0.1,www.google.com,HTTP/1.1,13,260,48881,2,0.001247,0.000336,0.002191
192.168.0.1,www.google.com,HTTP/1.0,14,259,48613,6,0.000461,0.000057,0.002273
192.168.0.1,www.google.com,HTTP/1.1,14,250,48863,9,0.000449,0.000050,0.002242
192.168.0.1,www.google.com,HTTP/1.0,15,264,48619,8,0.000416,0.000052,0.002236
192.168.0.1,www.google.com,HTTP/1.1,15,252,48893,8,0.000447,0.000063,0.002264
192.168.0.1,www.google.com,HTTP/1.0,16,258,48650,9,0.000437,0.000041,0.002053
192.168.0.1,www.google.com,HTTP/1.1,16,267,48869,9,0.000425,0.000061,0.001891
192.168.0.1,www.google.com,HTTP/1.0,17,261,48614,11,0.000810,0.000049,0.001773
192.168.0.1,www.google.com,HTTP/1.1,17,259,48844,7,0.000977,0.000322,0.001972
192.168.0.1,www.google.com,HTTP/1.0,18,258,48656,12,0.000445,0.000050,0.001660
192.168.0.1,www.google.com,HTTP/1.1,18,267,48841,9,0.000430,0.000063,0.001772
192.168.0.1,www.google.com,HTTP/1.0,19,262,48594,19,0.000458,0.000052,0.001587
192.168.0.1,www.google.com,HTTP/1.1,19,264,48816,11,0.000435,0.000048,0.001536
192.168.0.1,www.google.com,HTTP/1.0,20,266,48568,9,0.000483,0.000052,0.001691
192.168.0.1,www.google.com,HTTP/1.1,20,259,48851,6,0.000440,0.000041,0.001672
192.168.0.1,www.google.com,HTTP/1.0,21,259,48626,10,0.000495,0.000057,0.001513
192.168.0.1,www.google.com,HTTP/1.1,21,269,48883,10,0.000405,0.000063,0.001677
192.168.0.1,www.google.com,HTTP/1.0,22,265,48650,2,0.000446,0.000058,0.001338
192.168.0.1,www.google.com,HTTP/1.1,22,266,48826,2,0.000410,0.000059,0.001487
192.168.0.1,www.google.com,HTTP/1.0,23,264,48567,13,0.000430,0.000050,0.001290
192.168.0.1,www.google.com,HTTP/1.1,23,267,48855,10,0.000427,0.000057,0.001891
192.168.0.1,www.google.com,HTTP/1.0,24,265,48631,10,0.000433,0.000042,0.001555
192.168.0.1,www.google.com,HTTP/1.1,24,274,48802,11,0.000453,0.000043,0.001464
192.168.0.1,www.google.com,HTTP/1.0,25,267,48647,10,0.000620,0.000059,0.001417
192.168.0.1,www.google.com,HTTP/1.1,25,268,48831,11,0.000483,0.000050,0.001491
192.168.0.1,www.google.com,HTTP/1.0,26,272,48621,2,0.000443,0.000267,0.001175
192.168.0.1,www.google.com,HTTP/1.1,26,270,48866,2,0.000423,0.000048,0.001250
192.168.0.1,www.google.com,HTTP/1.0,27,276,48663,10,0.000657,0.000064,0.001266
192.168.0.1,www.google.com,HTTP/1.1,27,274,48848,14,0.000467,0.000084,0.001222
192.168.0.1,www.google.com,HTTP/1.0,28,270,48574,13,0.000465,0.000088,0.001358
192.168.0.1,www.google.com,HTTP/1.1,28,270,48854,15,0.000423,0.000244,0.001219
192.168.0.1,www.google.com,HTTP/1.0,29,274,48661,12,0.000464,0.000051,0.001958
192.168.0.1,www.google.com,HTTP/1.1,29,284,48801,13,0.000467,0.000050,0.001133
192.168.0.1,www.google.com,HTTP/1.0,30,264,48616,11,0.000559,0.000060,0.001219
192.168.0.1,www.google.com,HTTP/1.1,30,272,48814,7,0.000410,0.000048,0.001307
192.168.0.1,www.google.com,HTTP/1.0,31,277,48622,13,0.000464,0.000052,0.001316
192.168.0.1,www.google.com,HTTP/1.1,31,278,48838,11,0.000421,0.000055,0.001403
192.168.0.1,www.google.com,HTTP/1.0,32,272,48629,17,0.000607,0.000324,0.001131
192.168.0.1,www.google.com,HTTP/1.1,32,275,48856,12,0.000431,0.000050,0.001197
192.168.0.1,www.google.com,HTTP/1.0,33,273,48574,7,0.000438,0.000053,0.000979
