source,destination,protocol,chunkSize,tCount,fileSize,retransmits,connectTime,requestTime,receiveTime
192.168.0.1,www.google.com,HTTP/1.0,4,199,48408,3,0.000588,0.000033,0.006329
192.168.0.1,www.google.com,HTTP/1.1,4,207,48611,4,0.000474,0.000041,0.006713
192.168.0.1,www.google.com,HTTP/1.0,5,218,48407,2,0.000411,0.000049,0.005187
192.168.0.1,www.google.com,HTTP/1.1,5,216,48609,2,0.000445,0.000043,0.005504
192.168.0.1,www.google.com,HTTP/1.0,6,216,48432,6,0.000410,0.000061,0.004643
192.168.0.1,www.google.com,HTTP/1.1,6,228,48672,9,0.000414,0.000046,0.004406
192.168.0.1,www.google.com,HTTP/1.0,7,229,48424,10,0.000411,0.000052,0.004157
192.168.0.1,www.google.com,HTTP/1.1,7,237,48640,9,0.000491,0.000034,0.004036
192.168.0.1,www.google.com,HTTP/1.0,8,241,48439,12,0.000435,0.000047,0.003473
192.168.0.1,www.google.com,HTTP/1.1,8,239,48666,7,0.000429,0.000038,0.003286
192.168.0.1,www.google.com,HTTP/1.0,9,244,48379,11,0.000428,0.000052,0.003094
192.168.0.1,www.google.com,HTTP/1.1,9,256,48655,12,0.000441,0.000054,0.002989
192.168.0.1,www.google.com,HTTP/1.0,10,250,48417,2,0.000420,0.000046,0.002724
192.168.0.1,www.google.com,HTTP/1.1,10,249,48632,2,0.000425,0.000033,0.002953
192.168.0.1,www.google.com,HTTP/1.0,11,256,48454,2,0.000586,0.000037,0.002571
192.168.0.1,www.google.com,HTTP/1.1,11,257,48611,2,0.000416,0.000041,0.002623
192.168.0.1,www.google.com,HTTP/1.0,12,253,48446,11,0.000441,0.000037,0.002348
192.168.0.1,www.google.com,HTTP/1.1,12,256,48631,10,0.000443,0.000036,0.002280
192.168.0.1,www.google.com,HTTP/1.0,13,249,48408,2,0.000414,0.000053,0.002164
192.168.0.1,www.google.com,HTTP/1.1,13,262,48645,2,0.000440,0.000037,0.002336
192.168.0.1,www.google.com,HTTP/1.0,14,258,48426,12,0.000428,0.000048,0.001989
192.168.0.1,www.google.com,HTTP/1.1,14,263,48691,11,0.000438,0.000037,0.002160
192.168.0.1,www.google.com,HTTP/1.0,15,258,48403,9,0.000426,0.000055,0.001964
192.168.0.1,www.google.com,HTTP/1.1,15,265,48613,10,0.000431,0.000040,0.001976
192.168.0.1,www.google.com,HTTP/1.0,16,266,48404,17,0.000406,0.000044,0.001796
192.168.0.1,www.google.com,HTTP/1.1,16,258,48622,11,0.000438,0.000043,0.001724
192.168.0.1,www.google.com,HTTP/1.0,17,263,48458,12,0.000408,0.000045,0.001694
