source,destination,protocol,chunkSize,tCount,fileSize,retransmits,connectTime,requestTime,receiveTime
192.168.0.1,www.yahoo.com,HTTP/1.0,4,9,4593,2,0.000635,0.000059,0.000635
192.168.0.1,www.yahoo.com,HTTP/1.1,4,8,4612,1,0.000555,0.000059,0.000594
192.168.0.1,www.yahoo.com,HTTP/1.0,5,8,4593,2,0.000483,0.000052,0.000483
192.168.0.1,www.yahoo.com,HTTP/1.1,5,12,4612,2,0.000470,0.000061,0.000581
192.168.0.1,www.yahoo.com,HTTP/1.0,6,24,4593,2,0.000473,0.000045,0.000427
192.168.0.1,www.yahoo.com,HTTP/1.1,6,21,4612,2,0.000504,0.000059,0.000462
192.168.0.1,www.yahoo.com,HTTP/1.0,7,24,4593,2,0.000509,0.000047,0.000402
192.168.0.1,www.yahoo.com,HTTP/1.1,7,29,4612,2,0.000489,0.000050,0.000422
192.168.0.1,www.yahoo.com,HTTP/1.0,8,29,4593,2,0.000758,0.000048,0.000323
192.168.0.1,www.yahoo.com,HTTP/1.1,8,28,4612,2,0.000475,0.000051,0.000357
192.168.0.1,www.yahoo.com,HTTP/1.0,9,31,4593,2,0.000470,0.000047,0.000263
192.168.0.1,www.yahoo.com,HTTP/1.1,9,31,4612,2,0.000470,0.000050,0.000489
192.168.0.1,www.yahoo.com,HTTP/1.0,10,37,4593,2,0.000578,0.000052,0.000278
192.168.0.1,www.yahoo.com,HTTP/1.1,10,36,4612,2,0.000482,0.000295,0.000244
192.168.0.1,www.yahoo.com,HTTP/1.0,11,33,4593,2,0.000479,0.000053,0.000280
192.168.0.1,www.yahoo.com,HTTP/1.1,11,38,4612,3,0.000503,0.000049,0.000307
192.168.0.1,www.yahoo.com,HTTP/1.0,12,41,4593,2,0.000457,0.000058,0.000267
192.168.0.1,www.yahoo.com,HTTP/1.1,12,38,4612,3,0.000542,0.000051,0.000330
192.168.0.1,www.yahoo.com,HTTP/1.0,13,36,4593,3,0.000473,0.000053,0.000221
192.168.0.1,www.yahoo.com,HTTP/1.1,13,35,4612,4,0.000482,0.000082,0.000231
192.168.0.1,www.yahoo.com,HTTP/1.0,14,39,4593,2,0.000507,0.000339,0.000248
192.168.0.1,www.yahoo.com,HTTP/1.1,14,39,4612,2,0.000512,0.000057,0.000234
192.168.0.1,www.yahoo.com,HTTP/1.0,15,37,4593,2,0.000498,0.000049,0.000231
192.168.0.1,www.yahoo.com,HTTP/1.1,15,39,4612,2,0.000489,0.000057,0.000198
192.168.0.1,www.yahoo.com,HTTP/1.0,16,36,4593,2,0.000495,0.000055,0.000155
192.168.0.1,www.yahoo.com,HTTP/1.1,16,35,4612,2,0.000458,0.000057,0.000219
192.168.0.1,www.yahoo.com,HTTP/1.0,17,43,4593,2,0.000490,0.000049,0.000188
192.168.0.1,www.yahoo.com,HTTP/1.1,17,40,4612,2,0.000467,0.000053,0.000209
192.168.0.1,www.yahoo.com,HTTP/1.0,18,41,4593,2,0.000477,0.000053,0.000200
192.168.0.1,www.yahoo.com,HTTP/1.1,18,46,4612,2,0.000529,0.000054,0.000243
192.168.0.1,www.yahoo.com,HTTP/1.0,19,41,4593,3,0.000454,0.000055,0.000275
192.168.0.1,www.yahoo.com,HTTP/1.1,19,41,4612,3,0.000547,0.000051,0.000199
192.168.0.1,www.yahoo.com,HTTP/1.0,20,43,4593,2,0.000464,0.000046,0.000172
192.168.0.1,www.yahoo.com,HTTP/1.1,20,40,4612,2,0.000479,0.000055,0.000196
192.168.0.1,www.yahoo.com,HTTP/1.0,21,41,4593,2,0.000778,0.000060,0.000169
192.168.0.1,www.yahoo.com,HTTP/1.1,21,44,4612,2,0.000533,0.000061,0.000157
192.168.0.1,www.yahoo.com,HTTP/1.0,22,44,4593,2,0.000496,0.000053,0.000159
192.168.0.1,www.yahoo.com,HTTP/1.1,22,39,4612,3,0.000468,0.000057,0.000142
192.168.0.1,www.yahoo.com,HTTP/1.0,23,44,4593,2,0.000540,0.000355,0.000182
192.168.0.1,www.yahoo.com,HTTP/1.1,23,42,4612,2,0.000531,0.000064,0.000126
192.168.0.1,www.yahoo.com,HTTP/1.0,24,48,4593,2,0.000527,0.000054,0.000172
192.168.0.1,www.yahoo.com,HTTP/1.1,24,44,4612,2,0.000701,0.000093,0.000175
192.168.0.1,www.yahoo.com,HTTP/1.0,25,43,4593,2,0.000502,0.000118,0.000175
192.168.0.1,www.yahoo.com,HTTP/1.1,25,40,4612,2,0.000501,0.000052,0.000129
192.168.0.1,www.yahoo.com,HTTP/1.0,26,46,4593,2,0.000502,0.000147,0.000163
192.168.0.1,www.yahoo.com,HTTP/1.1,26,48,4612,2,0.000605,0.000046,0.000102
192.168.0.1,www.yahoo.com,HTTP/1.0,27,45,4593,2,0.000748,0.000061,0.000165
192.168.0.1,www.yahoo.com,HTTP/1.1,27,44,4612,2,0.000490,0.000059,0.000102
192.168.0.1,www.yahoo.com,HTTP/1.0,28,45,4593,2,0.000545,0.000057,0.000159
192.168.0.1,www.yahoo.com,HTTP/1.1,28,48,4612,2,0.000532,0.000051,0.000164
192.168.0.1,www.yahoo.com,HTTP/1.0,29,47,4593,2,0.000486,0.000059,0.000134
192.168.0.1,www.yahoo.com,HTTP/1.1,29,46,4612,2,0.000541,0.000052,0.000168
192.168.0.1,www.yahoo.com,HTTP/1.0,30,47,4593,3,0.000498,0.000056,0.000136
192.168.0.1,www.yahoo.com,HTTP/1.1,30,46,4612,2,0.000565,0.000048,0.000132
192.168.0.1,www.yahoo.com,HTTP/1.0,31,48,4593,3,0.000531,0.000061,0.000109
