source,destination,protocol,chunkSize,tCount,fileSize,retransmits,connectTime,requestTime,receiveTime
192.168.0.1,www.youtube.com,HTTP/1.0,4,199,48603,5,0.000624,0.000036,0.006716
192.168.0.1,www.youtube.com,HTTP/1.1,4,194,48864,7,0.000488,0.000061,0.006469
192.168.0.1,www.youtube.com,HTTP/1.0,5,213,48596,2,0.000502,0.000045,0.005857
192.168.0.1,www.youtube.com,HTTP/1.1,5,208,48831,2,0.000458,0.000061,0.005446
192.168.0.1,www.youtube.com,HTTP/1.0,6,218,48582,4,0.000507,0.000050,0.005599
192.168.0.1,www.youtube.com,HTTP/1.1,6,221,48855,7,0.000581,0.000058,0.004577
192.168.0.1,www.youtube.com,HTTP/1.0,7,225,48580,8,0.000518,0.000053,0.003963
192.168.0.1,www.youtube.com,HTTP/1.1,7,228,48831,13,0.000492,0.000061,0.003881
192.168.0.1,www.youtube.com,HTTP/1.0,8,238,48607,6,0.000479,0.000049,0.003420
192.168.0.1,www.youtube.com,HTTP/1.1,8,238,48818,8,0.000500,0.000051,0.003657
192.168.0.1,www.youtube.com,HTTP/1.0,9,245,48555,8,0.000519,0.000055,0.003130
192.168.0.1,www.youtube.com,HTTP/1.1,9,245,48827,7,0.000511,0.000051,0.003086
192.168.0.1,www.youtube.com,HTTP/1.0,10,239,48588,2,0.000520,0.000059,0.002966
192.168.0.1,www.youtube.com,HTTP/1.1,10,245,48878,2,0.000498,0.000433,0.003185
192.168.0.1,www.youtube.com,HTTP/1.0,11,245,48633,2,0.000473,0.000048,0.002661
192.168.0.1,www.youtube.com,HTTP/1.1,11,245,48836,2,0.000497,0.000064,0.002723
192.168.0.1,www.youtube.com,HTTP/1.0,12,248,48638,11,0.000471,0.000050,0.002438
192.168.0.1,www.youtube.com,HTTP/1.1,12,253,48855,12,0.000476,0.000051,0.002560
192.168.0.1,www.youtube.com,HTTP/1.0,13,245,48590,2,0.000478,0.000053,0.002720
192.168.0.1,www.youtube.com,HTTP/1.1,13,248,48775,2,0.000493,0.000084,0.002290
192.168.0.1,www.youtube.com,HTTP/1.0,14,252,48614,13,0.000485,0.000119,0.002356
192.168.0.1,www.youtube.com,HTTP/1.1,14,255,48842,11,0.000484,0.000044,0.002231
192.168.0.1,www.youtube.com,HTTP/1.0,15,249,48598,9,0.000472,0.000059,0.002292
192.168.0.1,www.youtube.com,HTTP/1.1,15,250,48868,10,0.000503,0.000144,0.002096
192.168.0.1,www.youtube.com,HTTP/1.0,16,262,48559,10,0.000509,0.000048,0.001988
192.168.0.1,www.youtube.com,HTTP/1.1,16,265,48871,9,0.000484,0.000051,0.002027
192.168.0.1,www.youtube.com,HTTP/1.0,17,263,48613,10,0.000453,0.000049,0.002208
192.168.0.1,www.youtube.com,HTTP/1.1,17,251,48859,15,0.000503,0.000048,0.002507
192.168.0.1,www.youtube.com,HTTP/1.0,18,259,48640,11,0.000474,0.000052,0.001805
192.168.0.1,www.youtube.com,HTTP/1.1,18,263,48874,12,0.000474,0.000051,0.002197
192.168.0.1,www.youtube.com,HTTP/1.0,19,271,48623,15,0.000472,0.000057,0.001916
192.168.0.1,www.youtube.com,HTTP/1.1,19,265,48846,16,0.000477,0.000057,0.001599
192.168.0.1,www.youtube.com,HTTP/1.0,20,264,48640,7,0.000482,0.000058,0.001543
192.168.0.1,www.youtube.com,HTTP/1.1,20,271,48840,5,0.000497,0.000059,0.001925
192.168.0.1,www.youtube.com,HTTP/1.0,21,265,48603,18,0.000520,0.000057,0.001693
192.168.0.1,www.youtube.com,HTTP/1.1,21,267,48853,14,0.000463,0.000062,0.001866
192.168.0.1,www.youtube.com,HTTP/1.0,22,269,48637,2,0.000506,0.000175,0.001327
192.168.0.1,www.youtube.com,HTTP/1.1,22,270,48825,2,0.000470,0.000105,0.001669
192.168.0.1,www.youtube.com,HTTP/1.0,23,263,48527,13,0.000468,0.000051,0.001532
192.168.0.1,www.youtube.com,HTTP/1.1,23,268,48836,11,0.000465,0.000059,0.001450
192.168.0.1,www.youtube.com,HTTP/1.0,24,268,48586,12,0.000460,0.000048,0.001951
192.168.0.1,www.youtube.com,HTTP/1.1,24,275,48834,13,0.000604,0.000073,0.001511
192.168.0.1,www.youtube.com,HTTP/1.0,25,275,48589,11,0.000533,0.000060,0.001433
192.168.0.1,www.youtube.com,HTTP/1.1,25,272,48810,12,0.000501,0.000042,0.001403
192.168.0.1,www.youtube.com,HTTP/1.0,26,269,48620,1,0.000506,0.000040,0.002044
192.168.0.1,www.youtube.com,HTTP/1.1,26,271,48862,2,0.000477,0.000048,0.001293
192.168.0.1,www.youtube.com,HTTP/1.0,27,276,48585,14,0.000473,0.000047,0.001223
192.168.0.1,www.youtube.com,HTTP/1.1,27,275,48878,13,0.000477,0.000048,0.001287
192.168.0.1,www.youtube.com,HTTP/1.0,28,268,48612,12,0.000557,0.000052,0.001339
192.168.0.1,www.youtube.com,HTTP/1.1,28,274,48809,12,0.000492,0.000039,0.001380
192.168.0.1,www.youtube.com,HTTP/1.0,29,275,48592,12,0.000498,0.000051,0.001475
192.168.0.1,www.youtube.com,HTTP/1.1,29,275,48870,13,0.000492,0.000057,0.001313
192.168.0.1,www.youtube.com,HTTP/1.0,30,275,48581,15,0.000490,0.000051,0.001714
192.168.0.1,www.youtube.com,HTTP/1.1,30,273,48876,12,0.000462,0.000057,0.001284
192.168.0.1,www.youtube.com,HTTP/1.0,31,273,48623,11,0.000498,0.000061,0.001241
192.168.0.1,www.youtube.com,HTTP/1.1,31,277,48876,14,0.000503,0.000051,0.001220
192.168.0.1,www.youtube.com,HTTP/1.0,32,274,48598,11,0.000505,0.000087,0.001284
192.168.0.1,www.youtube.com,HTTP/1.1,32,280,48875,14,0.000520,0.000249,0.001251
192.168.0.1,www.youtube.com,HTTP/1.0,33,274,48630,11,0.000482,0.000050,0.001470
192.168.0.1,www.youtube.com,HTTP/1.1,33,277,48809,9,0.000465,0.000299,0.001148
192.168.0.1,www.youtube.com,HTTP/1.0,34,273,48627,13,0.000453,0.000059,0.001113
192.168.0.1,www.youtube.com,HTTP/1.1,34,271,48846,14,0.000506,0.000063,0.001341
192.168.0.1,www.youtube.com,HTTP/1.0,35,273,48625,10,0.000473,0.000042,0.001129
192.168.0.1,www.youtube.com,HTTP/1.1,35,280,48815,12,0.000492,0.000062,0.001367
192.168.0.1,www.youtube.com,HTTP/1.0,36,275,48676,13,0.000545,0.000057,0.000988
192.168.0.1,www.youtube.com,HTTP/1.1,36,275,48824,18,0.000494,0.000347,0.001368
192.168.0.1,www.youtube.com,HTTP/1.0,37,273,48661,12,0.000496,0.000052,0.001106
192.168.0.1,www.youtube.com,HTTP/1.1,37,283,48860,15,0.000477,0.000049,0.001117
192.168.0.1,www.youtube.com,HTTP/1.0,38,282,48604,13,0.000490,0.000064,0.000953
192.168.0.1,www.youtube.com,HTTP/1.1,38,283,48810,10,0.000454,0.000049,0.001170
192.168.0.1,www.youtube.com,HTTP/1.0,39,279,48665,8,0.000565,0.000049,0.000855
192.168.0.1,www.youtube.com,HTTP/1.1,39,275,48814,13,0.000478,0.000067,0.001050
192.168.0.1,www.youtube.com,HTTP/1.0,40,277,48600,3,0.000507,0.000050,0.001034
192.168.0.1,www.youtube.com,HTTP/1.1,40,286,48834,9,0.000468,0.000052,0.001068
192.168.0.1,www.youtube.com,HTTP/1.0,41,278,48627,16,0.000564,0.000052,0.001298
192.168.0.1,www.youtube.com,HTTP/1.1,41,281,48878,13,0.000504,0.000052,0.000883
192.168.0.1,www.youtube.com,HTTP/1.0,42,282,48611,14,0.000464,0.000061,0.000841
192.168.0.1,www.youtube.com,HTTP/1.1,42,279,48850,18,0.000492,0.000065,0.001037
192.168.0.1,www.youtube.com,HTTP/1.0,43,281,48580,12,0.000504,0.000049,0.000954
192.168.0.1,www.youtube.com,HTTP/1.1,43,286,48897,15,0.000467,0.000059,0.000978
192.168.0.1,www.youtube.com,HTTP/1.0,44,277,48571,9,0.000531,0.000048,0.000941
192.168.0.1,www.youtube.com,HTTP/1.1,44,283,48831,12,0.000479,0.000048,0.001582
192.168.0.1,www.youtube.com,HTTP/1.0,45,281,48596,13,0.000477,0.000066,0.000911
192.168.0.1,www.youtube.com,HTTP/1.1,45,282,48823,11,0.000490,0.000060,0.001036
192.168.0.1,www.youtube.com,HTTP/1.0,46,278,48642,18,0.000524,0.000068,0.001013
192.168.0.1,www.youtube.com,HTTP/1.1,46,286,48824,11,0.000503,0.000054,0.000973
